original,asc,desc
8497,1818,-1298
3788,1823,-1314
-8018,1839,-1322
6743,1874,-1323
6872,1889,-1326
6014,1921,-1328
8053,1939,-1340
-5203,1949,-1358
9592,1971,-1358
-3586,1988,-1372
6041,1992,-1374
1587,2032,-1415
5590,2057,-1442
2557,2062,-1482
2850,2084,-1524
2326,2119,-1618
5580,2120,-1628
4781,2144,-1632
-7309,2220,-1633
6521,2231,-1637
721,2249,-1641
-3539,2254,-1659
284,2288,-1662
9340,2293,-1675
7152,2294,-1684
6674,2323,-1749
-744,2326,-1764
5683,2326,-1769
-2298,2333,-1783
3723,2437,-1796
2791,2438,-1816
-5004,2466,-1824
-4671,2520,-1830
-8778,2546,-1866
-7205,2557,-1872
-1328,2575,-1918
-442,2595,-1919
-6698,2600,-1952
-1662,2606,-1984
2084,2633,-2049
-5349,2658,-2127
-3235,2680,-2182
-2650,2686,-2251
101,2690,-2298
-2672,2693,-2334
4739,2695,-2380
-3450,2697,-2400
-1322,2725,-2411
-2411,2728,-2473
-6342,2735,-2473
3715,2742,-2516
-5291,2791,-2527
-4063,2850,-2528
5855,2851,-2577
8978,2877,-2582
3417,2959,-2584
8327,2985,-2591
7084,2997,-2650
-382,3003,-2656
5406,3039,-2667
-3433,3039,-2672
-790,3049,-2675
709,3052,-2716
9210,3089,-2722
6972,3092,-2727
-215,3126,-2764
3052,3157,-2784
-5953,3189,-2787
6088,3212,-2843
1061,3233,-2910
654,3238,-2983
5326,3257,-3050
2658,3266,-3063
-8551,3271,-3146
-4237,3286,-3148
-6466,3297,-3221
4698,3314,-3235
-9298,3315,-3288
-5952,3320,-3314
1949,3368,-3315
3896,3383,-3327
66,3396,-3369
7215,3417,-3396
8379,3423,-3403
-7358,3425,-3433
9051,3445,-3450
2288,3553,-3484
2725,3554,-3539
-8098,3559,-3576
2438,3586,-3586
4515,3614,-3587
1616,3615,-3592
-8311,3650,-3626
465,3661,-3640
8719,3674,-3657
4469,3690,-3659
-7252,3715,-3676
9199,3722,-3682
9178,3723,-3686
-6612,3730,-3692
6018,3788,-3711
-1866,3818,-3725
1874,3885,-3740
-1096,3896,-3753
5653,3927,-3793
9934,3936,-3794
5903,3948,-3801
8628,3948,-3827
8921,3963,-3881
-8198,3994,-3906
-4933,3996,-3921
4437,4006,-3957
1802,4011,-3962
-8998,4040,-3970
-8099,4081,-3973
411,4104,-3981
2323,4181,-4000
-6646,4192,-4024
-6575,4198,-4027
-7414,4308,-4063
1299,4338,-4069
-9843,4341,-4093
1449,4350,-4105
-481,4355,-4128
-680,4389,-4182
3586,4399,-4203
453,4425,-4222
4555,4433,-4234
5279,4437,-4237
8403,4447,-4242
5985,4452,-4244
354,4467,-4271
-157,4469,-4306
-5286,4515,-4309
1992,4540,-4322
-7218,4555,-4355
8625,4576,-4373
6901,4594,-4376
-7606,4606,-4390
5719,4611,-4414
-7658,4693,-4439
4425,4698,-4458
-8246,4715,-4465
-236,4721,-4469
3157,4733,-4483
4576,4739,-4519
-1628,4739,-4555
8433,4750,-4581
5487,4765,-4585
-5835,4765,-4590
3425,4767,-4626
4611,4780,-4661
-3327,4781,-4671
4765,4868,-4683
7968,4895,-4730
6343,4904,-4751
5251,4921,-4777
2690,4935,-4850
-4590,4936,-4881
5905,4972,-4911
-2716,4977,-4933
644,4989,-4990
-3711,5067,-5004
-3740,5150,-5012
-6848,5162,-5034
9226,5171,-5043
-7045,5198,-5075
-8275,5223,-5082
8723,5251,-5091
1100,5279,-5103
-1242,5285,-5123
4750,5300,-5181
-2334,5303,-5184
-7442,5324,-5203
4594,5326,-5209
-6480,5357,-5225
1060,5373,-5229
8982,5405,-5265
8723,5406,-5267
-2784,5431,-5271
5606,5441,-5286
2254,5442,-5291
-413,5479,-5321
-7202,5487,-5347
-2473,5536,-5349
3039,5548,-5396
9733,5560,-5407
-9903,5568,-5439
4355,5575,-5455
6927,5580,-5462
9024,5590,-5488
-1524,5606,-5532
-7631,5608,-5618
-4581,5615,-5648
7011,5626,-5709
7559,5632,-5835
2742,5653,-5946
-7546,5655,-5952
-7562,5678,-5953
-437,5682,-5953
1765,5683,-5965
-9353,5696,-5971
3722,5712,-6002
890,5719,-6005
-9754,5722,-6036
-8087,5738,-6061
-914,5739,-6072
4452,5749,-6104
6508,5780,-6108
-1374,5853,-6139
-4093,5855,-6154
9367,5870,-6211
-829,5899,-6236
-3692,5903,-6330
-1154,5905,-6342
-9759,5914,-6349
-3962,5937,-6370
311,5937,-6371
8369,5985,-6386
4765,6014,-6411
5626,6018,-6415
898,6020,-6465
-7789,6030,-6466
-2182,6041,-6480
9941,6062,-6497
-9117,6083,-6507
7584,6088,-6515
3690,6088,-6538
-4322,6096,-6575
5560,6098,-6588
6738,6152,-6612
-9136,6165,-6646
-7872,6167,-6661
3315,6174,-6676
9983,6267,-6681
-9521,6281,-6690
3314,6332,-6696
-7270,6343,-6698
3003,6396,-6708
2466,6400,-6775
-8192,6434,-6780
3615,6456,-6787
7941,6494,-6842
7269,6508,-6848
-9420,6519,-6874
-5082,6521,-6883
-5184,6526,-6896
-934,6553,-6915
-7140,6565,-6928
7087,6589,-6931
5536,6596,-6935
6167,6620,-6954
-6036,6623,-6970
-9709,6646,-6970
8213,6654,-7032
-4222,6655,-7036
3126,6670,-7042
8189,6674,-7045
-9277,6738,-7077
-9891,6743,-7098
-9892,6760,-7110
-6874,6795,-7122
-8967,6803,-7123
6400,6816,-7140
2119,6817,-7175
9601,6834,-7194
6030,6872,-7195
9264,6901,-7196
-5229,6913,-7202
-4244,6923,-7204
6989,6927,-7205
-5103,6940,-7205
-8856,6972,-7218
3383,6989,-7252
6020,6996,-7270
9364,7011,-7309
8556,7023,-7318
-7596,7023,-7356
5442,7068,-7358
6923,7084,-7364
3963,7087,-7379
6396,7102,-7402
6760,7114,-7414
-1069,7133,-7414
-9197,7152,-7438
-876,7166,-7442
-5965,7172,-7449
-7726,7215,-7475
-7502,7269,-7502
3948,7287,-7525
91,7350,-7545
797,7355,-7546
4904,7454,-7562
965,7492,-7564
2600,7500,-7596
-8280,7559,-7606
7023,7584,-7616
-1024,7633,-7622
-6896,7683,-7623
6267,7726,-7631
4693,7758,-7640
-8940,7783,-7658
-6139,7816,-7681
-9685,7834,-7691
-4585,7839,-7710
-8001,7863,-7726
4198,7869,-7726
451,7871,-7789
9605,7924,-7818
4989,7941,-7829
2231,7962,-7846
186,7968,-7866
-8910,8013,-7872
-8596,8052,-7878
2326,8053,-7882
-9913,8111,-7895
-9153,8111,-7932
-5618,8172,-7967
7683,8189,-8001
-821,8213,-8018
4192,8275,-8056
-1769,8306,-8073
-6538,8321,-8087
-2577,8327,-8096
-8166,8353,-8098
5405,8369,-8099
-6330,8379,-8107
-2473,8403,-8111
9601,8410,-8117
1839,8420,-8132
-829,8433,-8134
860,8451,-8158
5682,8468,-8166
-4911,8497,-8182
2728,8497,-8189
7454,8503,-8192
1448,8517,-8198
-1069,8530,-8199
-7098,8536,-8215
-5034,8550,-8246
8921,8552,-8247
825,8556,-8275
-3973,8625,-8280
-1633,8628,-8282
1560,8661,-8311
751,8665,-8312
3996,8688,-8313
-4850,8719,-8346
2985,8721,-8383
-1147,8723,-8415
8812,8723,-8416
-6842,8737,-8474
-7032,8757,-8551
-767,8761,-8596
167,8776,-8642
3818,8807,-8648
-1919,8812,-8669
8275,8921,-8701
-517,8921,-8724
-7414,8955,-8778
-7616,8957,-8834
9469,8977,-8856
-7318,8978,-8893
8957,8982,-8910
-4439,8983,-8933
-8132,9024,-8940
-3906,9051,-8961
2294,9058,-8967
-1442,9076,-8998
5712,9113,-9015
2220,9172,-9102
-1984,9178,-9105
2693,9183,-9117
9430,9194,-9124
-1764,9199,-9131
-6931,9206,-9136
-1824,9210,-9153
6803,9226,-9168
-5648,9236,-9197
8983,9238,-9252
1766,9253,-9255
2032,9264,-9277
-3659,9265,-9279
8410,9325,-9298
-9279,9340,-9307
-4027,9351,-9353
-1632,9364,-9362
-455,9367,-9384
-517,9384,-9420
-7042,9387,-9498
-5488,9388,-9503
-8096,9414,-9521
1449,9430,-9544
-2983,9437,-9546
1316,9463,-9558
1794,9469,-9568
4040,9504,-9578
941,9513,-9610
2959,9592,-9641
1743,9601,-9644
3049,9601,-9685
2333,9605,-9709
-3676,9655,-9722
-5075,9689,-9754
5749,9733,-9759
-3146,9794,-9802
983,9828,-9843
-6061,9848,-9853
-1372,9854,-9859
593,9892,-9870
2520,9923,-9891
528,9934,-9892
-2787,9941,-9894
9236,9961,-9903
255,9983,-9913
